"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5541","Test-06: Verify navigating to the main View Cart page renders all added products in the grid","webkit","2026-06-01","passed","2026-06-01","Shopping Cart Tests","shoppingCart.spec.js","",""
"","3229","Test-02: Verify clearing a mandatory field and submitting throws a validation error","firefox","2026-06-01","passed","2026-06-01","User Profile Service","userProfile.spec.js","",""
"","4040","Test-05: Verify navigating to a main category from top navigation bar","webkit","2026-06-01","passed","2026-06-01","Product Management Service Tests","productManagement.spec.js","",""
"","6157","Test-05: Verify removing a product via the Mini-Cart dropdown successfully deletes the item","webkit","2026-06-01","passed","2026-06-01","Shopping Cart Tests","shoppingCart.spec.js","",""
"","12906","Test-09: Verify order summary in the confirm order step matches cart items","firefox","2026-06-01","passed","2026-06-01","Checkout and Payment Service > test suits which need to login","checkoutPayment.spec.js","",""
"","6515","Test-12: Verify applying an invalid Gift Certificate triggers the correct warning message","webkit","2026-06-01","passed","2026-06-01","Shopping Cart Tests","shoppingCart.spec.js","",""
"","3209","Test-05: Verify navigating to a main category from top navigation bar","firefox","2026-06-01","passed","2026-06-01","Product Management Service Tests","productManagement.spec.js","",""
"","3932","Test-01: Verify successfull login with valid credentials","firefox","2026-06-01","passed","2026-06-01","Authentication Service Tests","authentication.spec.js","",""
"","5648","Test-07: Verify successfull registration with mandatory and optional fields","webkit","2026-06-01","passed","2026-06-01","Authentication Service Tests","authentication.spec.js","",""
"","5585","Test-04: Verify the Mini-Cart header dropdown accurately displays added items and live totals","webkit","2026-06-01","passed","2026-06-01","Shopping Cart Tests","shoppingCart.spec.js","",""
"","4871","Test-07: Verify submitting Edit Address form with blank mandatory field triggers a warning","webkit","2026-06-01","passed","2026-06-01","Address and Shipping Service","addressShipping.spec.js","",""
"","3921","Test-01: Verify searching for a valid existing product returns the correct results grid","webkit","2026-06-01","passed","2026-06-01","Product Management Service Tests","productManagement.spec.js","",""
